episode,total_steps,ep_reward,avg_P_supply,avg_hawkishness,avg_uncertainty,ent_coef,elapsed_s
374,179520,-15665.1797,0.1887,-0.0953,0.1376,0.0,530.9
375,180000,-13816.9223,0.212,-0.0536,0.1462,0.0,531.0
376,180480,-6234.0319,0.1,-0.1967,0.0962,0.0,543.4
377,180960,-14294.9782,0.1913,-0.0954,0.1402,0.0,543.5
378,181440,-8534.5615,0.1097,-0.2009,0.0996,0.0,543.5
379,181920,-13593.1455,0.2204,-0.0407,0.1492,0.0,543.6
380,182400,-9298.8714,0.2617,0.0281,0.176,0.0,543.7
381,182880,-3646.1467,0.1788,-0.1115,0.1332,0.0,543.8
382,183360,-8587.3898,0.2579,0.0079,0.1595,0.0,543.9
383,183840,-9443.997,0.193,-0.0855,0.1387,0.0,544.0
